# t	R	x	y	dOmega[0]	dOmega[1]	dOmega[2]	dOmega[3]
0.020000	4.998000	-0.150000	-4.950000	0.001000	0.000061	0.002000	0.000000
0.020000	4.998000	-0.150000	-4.850000	0.001000	0.000062	0.002000	0.000000
0.020000	4.998000	-0.150000	-4.750000	0.001000	0.000063	0.002000	0.000000
0.020000	4.998000	-0.150000	-4.650000	0.001000	0.000065	0.002000	0.000000
0.020000	4.998000	-0.150000	-4.550000	0.001000	0.000066	0.002000	0.000000
0.020000	4.998000	-0.150000	-4.450000	0.001000	0.000067	0.002000	0.000000
0.020000	4.998000	-0.150000	-4.350000	0.001000	0.000069	0.002000	0.000000
0.020000	4.998000	-0.150000	-4.250000	0.001000	0.000071	0.002000	0.000000
0.020000	4.998000	-0.150000	-4.150000	0.001000	0.000072	0.001999	0.000000
0.020000	4.998000	-0.150000	-4.050000	0.001000	0.000074	0.001999	0.000000
0.020000	4.998000	-0.150000	4.050000	0.001000	0.000074	-0.001999	0.000000
0.020000	4.998000	-0.150000	4.150000	0.001000	0.000072	-0.001999	0.000000
0.020000	4.998000	-0.150000	4.250000	0.001000	0.000071	-0.002000	0.000000
0.020000	4.998000	-0.150000	4.350000	0.001000	0.000069	-0.002000	0.000000
0.020000	4.998000	-0.150000	4.450000	0.001000	0.000067	-0.002000	0.000000
0.020000	4.998000	-0.150000	4.550000	0.001000	0.000066	-0.002000	0.000000
0.020000	4.998000	-0.150000	4.650000	0.001000	0.000065	-0.002000	0.000000
0.020000	4.998000	-0.150000	4.750000	0.001000	0.000063	-0.002000	0.000000
0.020000	4.998000	-0.150000	4.850000	0.001000	0.000062	-0.002000	0.000000
0.020000	4.998000	-0.150000	4.950000	0.001000	0.000061	-0.002000	0.000000
0.020000	4.998000	-0.050000	-4.950000	0.001000	0.000020	0.002001	0.000000
0.020000	4.998000	-0.050000	-4.850000	0.001000	0.000021	0.002001	0.000000
0.020000	4.998000	-0.050000	-4.750000	0.001000	0.000021	0.002001	0.000000
0.020000	4.998000	-0.050000	-4.650000	0.001000	0.000022	0.002001	0.000000
